Trial #,Senario,PM2.5,PM1.0,PM10,HCHO,TVOC,AQI,Temperature,Humidity
1,Candle added to add IMPURITIES,48,31,60,0.008,0.026,1,25.4,35
2,Candle added to add IMPURITIES,39,26,47,0.005,0.019,1,25.8,45
3,Candle added to add IMPURITIES,34,34,40,0.006,0.046,1,26.2,51
4,Incense Stick added to add IMPURITIES,999,159,999,1,5,6,27.6,26
5,Incense Stick added to add IMPURITIES,999,142,999,1,5,6,27.7,26
6,Incense Stick added to add IMPURITIES,999,130,999,1,5,6,27.9,26
7,Match Stick added to add IMPURITIES,999,346,999,0.619,4.736,6,27.1,35
8,Match Stick added to add IMPURITIES,999,344,999,0.606,4.612,6,27.1,35
9,Match Stick added to add IMPURITIES,999,342,999,0.596,4.534,6,27.1,35
10,Match Stick added to add IMPURITIES,999,343,999,0.589,4.478,6,27.1,35
